title,artist,album,track_number,year,genre,custom_id
我找你找了好久,无印良品,3人行,1,1998,Chinese Pop,E932456EB79543979DFDA6338AC7CDFE
掌心,无印良品,珍重,1,1999,Chinese Pop,76D3BAFD7C5746079F5B637ABF471A57
注定,无印良品,滚石香港黄金十年：无印良品精选,4/15,2003,Chinese Pop,B89ECCB303744BAF9BDA74F176C599B0
一个陌生女人的来信,曹卉娟,玻璃杯,1,2005,Chinese Pop,236EE22399494CECB7B59464E0149E6B
在一起,曹卉娟,玻璃杯,2,2005,Chinese Pop,3BDA3FEAF5084220A4F1AEB0FC137BAA
玻璃杯,曹卉娟,玻璃杯,3,2005,Chinese Pop,535E2A48937C454782433BCCFF7A05FA
眼泪不是我们的昨天,曹卉娟,玻璃杯,4,2005,Chinese Pop,0F272E1C683F4ADB8F9BB246E3618A9B
诉说,曹卉娟,玻璃杯,5,2005,Chinese Pop,B21F4A34FE654FB0813C694D15C39300
遗忘,曹卉娟,玻璃杯,6,2005,Chinese Pop,55990B13FD564728922069C41FE69275
住在春天,曹方,住在春天,1,2008,,F9C6BD73A94A47BA865903999C8874B4
四季天,曹方,哼一首歌 等日落,1,2009,Chinese Pop,3C46AC18343D4C43A42FE85C59ECC4EF
夏末的萨克斯手,曹方,比天空还远,1,2007,Other Asian,E0D835A3217B4D1BAA10170BDE46BBF4
比天空还远,曹方,比天空还远,2,2007,Chinese Pop,2A50A7CA9D4242C2A60809253CF0986A
等人,曹方,哼一首歌 等日落,2,2009,Chinese Pop,EDC893831A0C4AEBABF5352BD91E1CBB
纪念册,曹方,哼一首歌 等日落,1,2009,,3A7E0A11DD4A42AB88A0FBD0E869BB49
遇见我,曹方,遇见我,1,2005,Chinese Pop,51788D20CCA24F94BA66D1BB92D2A756
门,曹方,哼一首歌 等日落,3,2009,Chinese Pop,C6C5BD59E2AE4C7CBFD9B7EDB1DF47AC
一往情深的恋人,李健,音乐傲骨,1,2009,Chinese Pop,8EDFC15F8F2641768DC19732A2CADBE8
传奇,李健,似水流年,1,2003,Chinese Pop,8E6E731961E2489E96D70AF519B43F5E
似水流年,李健,什刹海,1,2006,Chinese Pop,6942C20441B548D3BF0E47AE5676E121
向往,李健,什刹海,2,2006,Chinese Pop,172E0FE71D46403FB488E3F9D893C835
想念你,李健,想念你,1,2007,Chinese Pop,C197FA0D374844B3A66358E5114C60A8
父亲,李健,什刹海,3,2006,Chinese Pop,9802EAB16F20439085614DEEB49ABA55
绽放,李健,什刹海,4,2006,Chinese Pop,DFF5DC04D948459A9DF2339308AA3546
风吹麦浪,李健,想念你,2,2007,Chinese Pop,A6B41610FF104C16A6079025C88CDC9F
你那么爱她,李圣杰,关于你的歌,1,2006,Chinese Pop,40350C8602C248FBB76CA25F3BBFA21F
很想说,李圣杰,关于你的歌,2,2006,Chinese Pop,86CC557EACEA465497CE9CAA450F0FAA
心口,李圣杰,冷咖啡,6/10,1999,Chinese Pop,506BC69852DF4C2AAFC60C9789490B12
手放开,李圣杰,绝对痴心·手放开,3/11,2004,Chinese Pop,4F603F95C2424528824CEF83B95CC5B4
痴心绝对,李圣杰,绝对痴心·手放开,1/11,2004,Chinese Pop,F81A1DBA02CB4CDDB9EFF919A2F67851
靠近,李圣杰,收放自如,1,2008,Chinese Pop,7905CCBA315A47E8AA022EE84F7D0385
凡人歌,李宗盛,理性与感性作品音乐会,6,2007,Chinese Pop,F9A397481B094AAC80274304DBA4F665
寂寞难耐,李宗盛,理性与感性作品音乐会,7,2007,Chinese Pop,6A8B32F175A1469C96C7835D4C942908
当爱已成往事 李宗盛&梁静茹,李宗盛,理性与感性作品音乐会,1,2007,Chinese Pop,4C27816730FB4CD5A9B5C11DC6FCF69B
